iter x y fval size
    1 -3.500e+00  1.520e+02 1.953e+06 1.130e+00
    2 -4.500e+00  1.507e+02 1.703e+06 1.409e+00
    3 -9.000e+00  1.531e+02 5.203e+05 2.581e+00
    4 -1.325e+01  1.518e+02 5.661e+04 3.702e+00
    5 -1.325e+01  1.518e+02 5.661e+04 2.429e+00
    6 -1.325e+01  1.518e+02 5.661e+04 2.429e+00
    7 -1.142e+01  1.528e+02 5.028e+04 1.392e+00
    8 -1.142e+01  1.528e+02 5.028e+04 1.018e+00
    9 -1.181e+01  1.521e+02 1.602e+04 9.004e-01
   10 -1.243e+01  1.521e+02 7.777e+02 5.433e-01
   11 -1.243e+01  1.521e+02 7.777e+02 3.502e-01
   12 -1.243e+01  1.521e+02 7.777e+02 2.250e-01
   13 -1.229e+01  1.520e+02 2.545e+02 1.807e-01
   14 -1.229e+01  1.520e+02 2.545e+02 1.807e-01
   15 -1.235e+01  1.522e+02 1.974e+02 1.678e-01
   16 -1.235e+01  1.522e+02 1.974e+02 1.078e-01
   17 -1.232e+01  1.520e+02 1.794e+02 1.018e-01
   18 -1.232e+01  1.520e+02 1.794e+02 7.469e-02
   19 -1.232e+01  1.520e+02 1.794e+02 6.784e-02
   20 -1.233e+01  1.521e+02 1.784e+02 5.349e-02
   21 -1.233e+01  1.521e+02 1.778e+02 4.698e-02
   22 -1.233e+01  1.521e+02 1.778e+02 2.497e-02
   23 -1.233e+01  1.521e+02 1.778e+02 2.477e-02
   24 -1.233e+01  1.521e+02 1.778e+02 2.477e-02
   25 -1.233e+01  1.520e+02 1.777e+02 2.477e-02
   26 -1.233e+01  1.521e+02 1.777e+02 2.472e-02
   27 -1.233e+01  1.520e+02 1.776e+02 4.511e-02
   28 -1.233e+01  1.520e+02 1.776e+02 4.397e-02
   29 -1.232e+01  1.518e+02 1.775e+02 7.463e-02
   30 -1.232e+01  1.518e+02 1.775e+02 7.463e-02
   31 -1.231e+01  1.515e+02 1.774e+02 1.418e-01
   32 -1.231e+01  1.515e+02 1.771e+02 1.630e-01
   33 -1.228e+01  1.508e+02 1.768e+02 3.252e-01
   34 -1.226e+01  1.504e+02 1.760e+02 4.434e-01
   35 -1.220e+01  1.489e+02 1.750e+02 8.401e-01
   36 -1.213e+01  1.473e+02 1.726e+02 1.275e+00
   37 -1.197e+01  1.434e+02 1.687e+02 2.294e+00
   38 -1.177e+01  1.383e+02 1.653e+02 3.676e+00
   39 -1.160e+01  1.344e+02 1.641e+02 3.676e+00
   40 -1.160e+01  1.344e+02 1.641e+02 2.294e+00
   41 -1.162e+01  1.349e+02 1.598e+02 2.480e+00
   42 -1.162e+01  1.349e+02 1.598e+02 1.249e+00
   43 -1.162e+01  1.349e+02 1.598e+02 1.057e+00
   44 -1.153e+01  1.331e+02 1.572e+02 1.557e+00
   45 -1.133e+01  1.281e+02 1.543e+02 2.845e+00
   46 -1.106e+01  1.221e+02 1.500e+02 4.494e+00
   47 -1.106e+01  1.221e+02 1.500e+02 3.103e+00
   48 -1.098e+01  1.205e+02 1.442e+02 3.736e+00
